answers,question
"Before I begin narrating down my answer, I would like to clearly mention that the following is solely my observation and review. If someone has problems, you are most welcome to skip reading the content below. Campus : On a serious note, I feel IIT Mandi doesn’t have a good infrastructure, when compared with all others, in the entire IIT family. One should clearly remember that beautiful hills, mountains, rivers, waterfalls and clouds are not a part of the IIT Mandi campus. They are simply outside the campus and certainly not constructed by the development authorities. Stop saying that IIT Mandi Continue ReadingBefore I begin narrating down my answer, I would like to clearly mention that the following is solely my observation and review. If someone has problems, you are most welcome to skip reading the content below. Campus : On a serious note, I feel IIT Mandi doesn’t have a good infrastructure, when compared with all others, in the entire IIT family. One should clearly remember that beautiful hills, mountains, rivers, waterfalls and clouds are not a part of the IIT Mandi campus. They are simply outside the campus and certainly not constructed by the development authorities. Stop saying that IIT Mandi has a beautiful campus just because of the natural resources present outside the campus and the hilly view is mesmerizing and beautiful. IIT Mandi has simply failed to build a good permanent and a planned campus despite of the fact that ~12 years have passed since its establishment. There are 2 campuses in IIT Mandi - North campus and the South campus. IIT Mandi’s South campus : The South campus is completely temporary in design and construction.The authorities keep on digging up and constructing stuff, again demolishing the same structures and performing the same construction again and this has been repeating for years.Majority of the construction in the south campus is temporary which will be demolished once the new director joins this year.As soon as you enter the south campus, a lot of structures on your left, as you walk towards the ground, are extremely poorly built just like local huts in any remote area and they exist even after years of college establishment.As you enter the South campus and proceed towards the main play-ground, you will find nothing but majority of washrooms on your left and that too poorly maintained and built. Which IIT campus in India, you will find series of washrooms as you soon as you enter the campus.Just at the beginning of the south campus, there is a local canteen called CVR canteen that serves the most unhygienic food on the entire campus. It is more of a provision store and less of a canteen. The level of hygiene here is simply unbearable. The cooks prepare food, take bath and wash clothes in the same kitchen itself. The prepared snacks are kept inside the glass containers full of insects, rodents including cockroaches. There is no cleanliness in the sitting area. I don’t feel such type of canteen should exist in any Indian college or university. They include over 50 different food items but prepare not more than 5 or 6. Any genuine complain against unhygienic setting etc. is not addressed properly. I personally feel, that the canteen is heavily and too much backed up, by the college authorities.Now coming to the ground, which is another spot for never ending construction. The policy they follow is simply to build, demolish and repeat. The authorities construct and demolish the structures again and again. Some issue with the civil department too, I guess.The pathways and the roads inside the South campus are extremely poor in quality and keeps worsening especially during rains.The most irritating part is the construction debris due to the entire campus being dug up again and again. The connecting sanitation and drainage pipelines are just not properly planned and implemented due to which water keeps flowing everywhere and getting collected.There are no proper canteens in the entire South campus where you can have reasonable and quality food. Few of the existing so called canteens operating inside the campus pay hefty amount of revenue to the college authorities which allow them to operate. There is a small stall like canteen called as ‘BulBul’ canteen that will prepare veg maggie and chicken in the same pan messing everything. Recently its owner was fined Rs. 5000 for utter unhygienic environment he has inside. No new vendors are allowed or given permit unless they agree to pay a heavy part of their money to college authorities. You cannot have simple south Indian dishes like dosa, idli, vada or good quality bakery items like burger, hotdog, puffs, pastry & cakes, sandwiches, pizzas etc. There is just one very simple canteen that serves extremely overpriced and very limited food items like desserts and shakes with no food variety at all. There are simply no provisions at all. There are no arrangements for any sort of fast food chains to operate inside the campus unlike all other IITs. Also since the area is remote, there are no hopes from outside the campus as well. You are suppose to travel to Mandi town to enjoy some of the delicacies or survive on maggie and parathas. Personally, I have stopped eating from any the canteens especially CVR and the BulBul.IIT Mandi’s North campus : IIT Mandi’s north campus is the most unplanned and illogical campus that any IIT may possibly have. The entire construction takes place at random and as I previously mentioned that they are still constructing the main sections of the campus even till today.The amount of planning that should have been involved while constructing the main North campus is zero. They constructed hostels right in front of the faculty and staff quarters. Also the architecture and design of the construction looks quite uglier. The buildings have just been whitewashed and the construction authorities still haven’t progressed to painting. There are broken pieces of big rocks and construction debris all over. The drainage pipes run from anywhere to everywhere spilling out water on the pathways and making it a complete mess during rains.Majority of the labs and hostels are still in construction. The existing labs are extremely poor on resources and basic lab facilities. The new lab in which I work is extremely low on seating capacity and system resources. Previously labs operated from the South campus and the situations were the same. The same is the situation for the students of the other departments as well. The college has simply failed to build decent lab and computing facilities even after so many years. Since the construction was poor in logic and design, so is the lab facility in most of the streams. Just placing some old systems & material in a small area does not constitute a premier and state of the art computing lab.There are almost no canteens available on the campus. They have recently opened a fast food outlet called ‘OneBite’ but again the quality and variety is very limited and promising. The college authorities still don’t actively supports the outlet yet. It is extremely surprising to see hygienic and quality checks happening in ‘OneBite’ but not at all in the unhygienic CVR or BulBul Canteen in the South campus just because they may be backed up by certain college authorities.Even it is the main campus of IIT Mandi, still they don’t have any fast-food or traditional Indian style restaurants operating on campus. IIT Roorkee has Subway, PizzaHut, IIT Kanpur has CCD, Dominoes, IIT Bombay has Nescafe and so on. I don’t remember the exact list of the food outlets and restaurants in other IITs as well but IIT Mandi practically has none. Both the campuses of IIT Mandi have no hostel canteens or late night canteens. However I found mess food to be very good in both the IIT campuses. D1 mess in South campus is simply great.There is no quality furniture in the labs, hostels and inside libraries. Also the amount of academic material that should be present inside an IIT library is way less. Since I work in the CSE department, to my utter surprise, the main CSE (MANAS) lab is extremely weak on seating capacities, quality furniture, lab equipments. Most of the system comprises of old material and components and haven’t been upgraded since years. I personally felt that most of the elite and premier schools in Delhi have a much better built computer labs than this, apart from few of the advanced computing facilities currently being integrated or already integrated into. It is surprising to witness a new generation IIT demonstrating so low standards of core computer science lab, despite of completing 10 years of its establishment.Outside the campus : Again, this parameter is disappointing as it is majority of the local people who aim for employment and business due to existing IIT. The restaurants are very local in nature and don’t offer quality and variety in food items. Again the same hygiene issue persists.There are a lot number of provision stores outside. If you visit nearby areas such as Salgi, Katindi or Kamand, you will find 99% of the shops are nothing but provision stores. I expected variety such as garments shop, cafeterias, footwear shops, stationary shops, medical stores etc. But to the utter disappointment, all the locals are operating provision stores.There is not even a single medical store outside the campus. The local food outlets also serve the same thing: tea, coffee, parathas and maggie.The CSE labs and infrastructure is still not sufficient and strong to provide best of the opportunities. The faculty is extremely good and competitive however and one should remember that they are ultimately practising traditional & conventional teaching methodology as well as just doing their job mostly as an another govt. service or duty. Extremely and extremely few of them are really helpful and motivating but others are not and the same story goes for most of the elite Indian engineering campuses. Placements : Placements are extremely good especially for the much coveted CSE stream. Top product based firms hire in good numbers from the campus. Overall extremely competitive placements are offered to its graduates. However core engineering departments still don’t have that great placements and those students opt for software or non-tech profile roles mostly in general. College Life : Personally college life, is not that great due to the lack of hangout zones both inside and outside the campus. Since the area is remote, there are no chill out zones outside too. The sports facilities are below average owning to the limited space of the college campus in the remote area but things are building up gradually. One may join college clubs and societies to participate in more of varied events and activities but the bitter truth is that the excitement and curiosity due to the scenic and appealing natural beauty will fade away in a few months and one may feel sort of trapped inside. The place is ideal for researchers who want a peaceful environment conducive to their work area. Hope that helps and excuse me for typos or grammatical errors, if any. Please upvote if you find it useful. ","How is IIT Mandi CS in terms of campus, placement and college life? "
"CS at IIT MANDI is pretty good. As far placements are concerned, avg package is 11-12 LPA.This year one of our student grabbed package at Google,5-7 at Amazon,5-7 at Microsoft.Faculty of CS is very good and experienced.We have our well established permanent campus,so college life is very good. As number of students are not much so one get immense number of opportunities in evry field. ","How is IIT Mandi CS in terms of campus, placement and college life? "
" About College: The Indian Institute of Technology in Mandi (IIT- Mandi) was established in 2009. During the Eleventh 5- year plan, it was realized that there was a requirement to extend the number of elite institutions in the country. This included the IITs as well whose number till then was miniscule. Thus, 8 new IITswere established, while IT-BHU was upgraded to the IIT status. These new IITshave over a period of time gained in reputation and are fast closing the gap on the top incumbents. Lakhs of students from all over the country enrol themselves over countless hours of coaching classes in Continue Reading About College: The Indian Institute of Technology in Mandi (IIT- Mandi) was established in 2009. During the Eleventh 5- year plan, it was realized that there was a requirement to extend the number of elite institutions in the country. This included the IITs as well whose number till then was miniscule. Thus, 8 new IITswere established, while IT-BHU was upgraded to the IIT status. These new IITshave over a period of time gained in reputation and are fast closing the gap on the top incumbents. Lakhs of students from all over the country enrol themselves over countless hours of coaching classes in order to secure a seat at the IITs. These new IITs are in – Bhubaneshwar, Rupnagar, Gandhinagar, Hyderabad, Indore, Jodhpur, Patna and Mandi. A further few IITs have opened up later, known popularly as the ‘Baby IITs’.  RANKING NationalBy NIRF in 2019 : 20 By NIRF in 2018 : 28 26A By NIRF in 2017 : 28 By Edu Rand in 2015 : In top 40 PLACEMENT STATISTICS  AVERAGE SALARY   RECRUITERS  From above scenario u will have clear all placement record of IIT Mandi. We,at Doubtnut always happy to solve your query:) ",What is the average package of CSE at IIT Mandi? 
" About College: The Indian Institute of Technology in Mandi (IIT- Mandi) was established in 2009. During the Eleventh 5- year plan, it was realized that there was a requirement to extend the number of elite institutions in the country. This included the IITs as well whose number till then was miniscule. Thus, 8 new IITswere established, while IT-BHU was upgraded to the IIT status. These new IITshave over a period of time gained in reputation and are fast closing the gap on the top incumbents. Lakhs of students from all over the country enrol themselves over countless hours of coaching classes in Continue Reading About College: The Indian Institute of Technology in Mandi (IIT- Mandi) was established in 2009. During the Eleventh 5- year plan, it was realized that there was a requirement to extend the number of elite institutions in the country. This included the IITs as well whose number till then was miniscule. Thus, 8 new IITswere established, while IT-BHU was upgraded to the IIT status. These new IITshave over a period of time gained in reputation and are fast closing the gap on the top incumbents. Lakhs of students from all over the country enrol themselves over countless hours of coaching classes in order to secure a seat at the IITs. These new IITs are in – Bhubaneshwar, Rupnagar, Gandhinagar, Hyderabad, Indore, Jodhpur, Patna and Mandi. A further few IITs have opened up later, known popularly as the ‘Baby IITs’.  RANKING NationalBy NIRF in 2019 : 20 By NIRF in 2018 : 28 26A By NIRF in 2017 : 28 By Edu Rand in 2015 : In top 40 PLACEMENT STATISTICS  AVERAGE SALARY   RECRUITERS  From above scenario u will have clear all placement record of IIT Mandi. We,at Doubtnut always happy to solve your query:) ",What is the average package of CSE at IIT Mandi? 
"Average Package of CSE revolves around 10-11 Lakh. For other branches, it decreases progressively, comes to about 6.5-7 Lakhs. Highest domestic package recorded was Rs. 40 LPA and highest International Package offered was by Google, which stood at Rs. 1.06 Crores. upvote if helpful and follow ",What is the average package of CSE at IIT Mandi? 
"I am unaware of the overall placement scenario, but there’s this guy called Shubham Ajmera who happens to be the son of my father’s colleague, who completed his B.Tech, Computer Science from IIT Mandi and bagged an all-time high package from Google, a whopping 1.7 Crore!  The point I wanna draw is, y Continue ReadingI am unaware of the overall placement scenario, but there’s this guy called Shubham Ajmera who happens to be the son of my father’s colleague, who completed his B.Tech, Computer Science from IIT Mandi and bagged an all-time high package from Google, a whopping 1.7 Crore!  The point I wanna draw is, your college’s newness doesn’t matter. Opportunity knocks on all doors, be good enough to grab it. :) ",What is the current placement scenario at IIT Mandi? 
"It has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost compContinue ReadingIt has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to trek around with friends.Teachers are good. Off course you will not like some of them but it is good. After all we are the only IIT to have more staff than the sanctioned strength.Now comes the bad: The institute is still new and not in a major city you will feel it tough to gather sponsors for any event.(the situation improves every year, we will be having 3 pro nites this Exodia !!).The main city Mandi is around 40 mins from institute thus if you want to hang out at dominos or have good tea/coffee at some cafe you will have to travel at least 80 mins (back and fro).You will feel lack of equipments and space for music club. We feel that Music club room should be bigger with better speakers.If you are a robotronics guy you will mostly not find parts in Mandi and it is a pain. Especially if you to complete something fast. You have to either go to Chandigarh or Delhi (maybe Shimla) to get things done.I have Apple devices and the nearest service centre. is in in Shimla, so if you buy or have replacement you need to go to Shimla.I have not experienced any other difficulty till now. Will update later.My life at IIT Mandi is just awesome. I get a lot of free time and is involved in some projects. Being in new college I get exposure to lot of new projects which are generally done 2nd -3rd yearites. Plus you get the opportunity to be core member of many clubs. Study is good and not at all stressful like JEE. (where 50 percent has to break their a** to get here). We have two quizzes and an end semester. The quiz of an hour and are over in a over a week. Also if you like to do multiple projects but don’t have enough motivation to start new projects , don't worry you have to a project every year to get grades. If you study smartly you can have a CG of 9 above (in 1 sem) easily. For above 9 just attend most classes. And even after all this stuff you can find time to pursue a hobby and play sports. Overall you will be always busy with some stuff or other (if you are not a Maggu/lame). Now for those who are reading this answer to find out placements and all. Look for CS they are just like any other college good. If you are good at coding and have nice outlook you can get a 20–25 easy. For mech guys (like me) have to work hard to get placement. The truth is this is the case all over India there are very few core companies so to get into them is tough. But mech is a branch which you pursue solely for your interest,some guys can get an awesome placement while others may be no. The for mech this year is 17 lac in HOCL (a PSU). Or you can apply of campus to companies like BM and Merc. it is all on you. For electrical I don’t have any reviews but they are more or less like mech guys besides the fact that they are sometimes(mostly) hired by IT giants. Again for internships you need to work hard, they are the same as placement. The only plus point is that we have a semester exchange program where you can to Germany and study a sem there. It is beneficial. EDIT1 : IIT Mandi has been literally very good in tech fests. It has been the number one new IIT in inter IIT tech meets. ",What is the current placement scenario at IIT Mandi? 
"IIT Jodhpur and Mandi both opened around the same time and have evolved in their own ways. While it would be best to contact a 3rd/4th year UG of IIT Mandi electrical to know more about the branch there.. I can assure you that Electrical is THE MOST CHILL branch here in Jodhpur. We have ample of faculty members in various areas of specialization along with well equipped Power Systems, Power Electronics, Analog/Digital Electronics and Machines lab. Also as Ansh has pointed out, we have already shifted into our very own permanent campus and it comes with its perks and many seniors have cracked var Continue ReadingIIT Jodhpur and Mandi both opened around the same time and have evolved in their own ways. While it would be best to contact a 3rd/4th year UG of IIT Mandi electrical to know more about the branch there.. I can assure you that Electrical is THE MOST CHILL branch here in Jodhpur. We have ample of faculty members in various areas of specialization along with well equipped Power Systems, Power Electronics, Analog/Digital Electronics and Machines lab. Also as Ansh has pointed out, we have already shifted into our very own permanent campus and it comes with its perks and many seniors have cracked various Graduate level exams GRE, GATE, CAT etc. and the placement is also quite decent. However, one piece of advice - if you want to opt for Department Change solely and have ABSOLUTELY NO interest in Electrical whatsoever then you should consider Mandi as the branch change criteria there is of about 50%. :D G ",Should I take electrical in IIT Mandi or electrical in IIT Jodhpur? 
"I was getting EE in all the second generation IITs except Indore and gandhinagar and I choose Mandi over others ( including Jodhpur ) due to the following reasons. 1 - EE at IIT Mandi have some really good faculties. Many of them have contacts with industry and can help you in getting internship offers and good research projects if you are interested. 2 - IIT Mandi is considered as a hub for electronics. The new microchip fabrication lab ( I forgot the exact name ) is so advanced and is responsible for some great research works that are currently happening in india. 3 - You have a good freedom on Continue ReadingI was getting EE in all the second generation IITs except Indore and gandhinagar and I choose Mandi over others ( including Jodhpur ) due to the following reasons. 1 - EE at IIT Mandi have some really good faculties. Many of them have contacts with industry and can help you in getting internship offers and good research projects if you are interested. 2 - IIT Mandi is considered as a hub for electronics. The new microchip fabrication lab ( I forgot the exact name ) is so advanced and is responsible for some great research works that are currently happening in india. 3 - You have a good freedom on choosing courses, after the core courses, you are free to do whatever course you want. 4 - Campus. I never wanted a city life and as you might have heard or seen, IIT Mandi is one of the most beautiful campuses in india. But I suggest you to make a decision based on the above facts rather than a beautiful campus. The above points might be true for IIT Jodhpur too now. But three years ago when I was filling options, I felt IIT Mandi is the best for me. ",Should I take electrical in IIT Mandi or electrical in IIT Jodhpur? 
"You should choose mechanical at IIT Mandi because of many reasons. 1 IIT Mandi is one of the fastest growing institute. We have a very beautiful campus.   2 Placements at iit Mandi are very good. You can see our recruiters. And the number of companies coming to our college increases every year because of our curriculum.  3 International exposure- Students from our college get an opportunity to study abroad under the semester exchange programme. They can go to Germany, Finland and even to old IITs. 4 Different Clubs- a. Gustaakh Saale- The dramatic society of IIT Mandi the drama club of iit Mandi is amo Continue ReadingYou should choose mechanical at IIT Mandi because of many reasons. 1 IIT Mandi is one of the fastest growing institute. We have a very beautiful campus.   2 Placements at iit Mandi are very good. You can see our recruiters. And the number of companies coming to our college increases every year because of our curriculum.  3 International exposure- Students from our college get an opportunity to study abroad under the semester exchange programme. They can go to Germany, Finland and even to old IITs. 4 Different Clubs- a. Gustaakh Saale- The dramatic society of IIT Mandi the drama club of iit Mandi is among the best of all the IITs . It has got 3rd position in the Inter IIT Cultural Meet. b. Literary society which organises events like debating, writing etc. c. Dance Club (UDC). d. Music club We have many technical clubs also like programming club, Robotronics club, Space technology and astronomy club, Nirmaan Club etc. Thanks for reading. ","What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? "
"Hi there! Well, first of all, you are most likely not going to get the right answer to such questions as students (mostly 2nd-year students) are just gonna promote their institute without having any knowledge of the rival institute you are asking for the comparison. It is always better to gain info about each institute and then consider. I can provide you with some advantages of being in IIT Jodhpur. We have got amazing student friendly mechanical faculty. One of the main advantages that I feel is the IIP(Industry Immersion Program) where students can get an internship in the first year itself  Continue ReadingHi there! Well, first of all, you are most likely not going to get the right answer to such questions as students (mostly 2nd-year students) are just gonna promote their institute without having any knowledge of the rival institute you are asking for the comparison. It is always better to gain info about each institute and then consider. I can provide you with some advantages of being in IIT Jodhpur. We have got amazing student friendly mechanical faculty. One of the main advantages that I feel is the IIP(Industry Immersion Program) where students can get an internship in the first year itself which continues till the third year which is quite useful for the exposure and placement. Apart from these technicalities, the students are provided with independent air cooled rooms so you get your privacy and never face any problem with the temperature outside. For more details about IIT Jodhpur, ping me any time. ","What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? "
"You can get confused with all these answers, so my advice is to note down all bold points/important points and then compare them. Also list out the exclusive features that a institute offers which no one else does, because all av package, staff, facilities, companies in these IITs are similar and not gonna make a huge difference. Things like IIP is provided by IIT JODHPUR only and by far it's the only program which gives 3 year of internship and this much huge industrial contact. Also residential qualities like 24*7 AC SINGLE rooms, right from your first year. Ayush Gupta's answer to Which is b Continue ReadingYou can get confused with all these answers, so my advice is to note down all bold points/important points and then compare them. Also list out the exclusive features that a institute offers which no one else does, because all av package, staff, facilities, companies in these IITs are similar and not gonna make a huge difference. Things like IIP is provided by IIT JODHPUR only and by far it's the only program which gives 3 year of internship and this much huge industrial contact. Also residential qualities like 24*7 AC SINGLE rooms, right from your first year. Ayush Gupta's answer to Which is better: electrical engineering at ISM or Mandi and Jodhpur? I would also advise to talk to seniors. Ping me if you want to know anything else or if you want to contact anyone from any branch of IITJ. ","What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? "
"It completely depends on you! Try looking out more about each branch and Figure out which branch interests you or more specifically, which subjects in a branch interests you. You can always choose a new IIT, especially IIT Jammu if you want a better branch. DONOT judge it by it's openings and closings(ranks). My personal opinion is that Dhanbad is a better institute among all those listed Hope this helps! Message me for more queries ","What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? "
"Firstly, don’t go for newest IITs(2016) as they lack infrastructure, alumni base etc. Regarding your preference order: IIT PatnaISM DhanbadIIT MandiIIT JodhpurIIT Patna is rising rapidly and has locational advantage over Dhanbad. Infrastructure of IIT Patna is superb and better than others. Please don’t go on Patna stereotype. ","What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? "
"Maybe I m not the best person to answer this question but my personal preference was CSE at IIT Jammu. But it depends on interest, one must choose the branch on the basis of his interest rather than going for better IIT or placements. ","What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? "
"First of all Congratulations for being IITian. Preference order should be : IIT DHANBAD as it is not new iit, it is of year 1926 blindly go for it without any second thought. IIT DHANBAD > IIT PATNA > IIT MANDI > IIT JODHPUR   ","What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? "
"IIT Jodhpur and Mandi both opened around the same time and have evolved in their own ways. While it would be best to contact a 3rd/4th year UG of IIT Mandi electrical to know more about the branch there.. I can assure you that Electrical is THE MOST CHILL branch here in Jodhpur. We have ample of faculty members in various areas of specialization along with well equipped Power Systems, Power Electronics, Analog/Digital Electronics and Machines lab. Also as Ansh has pointed out, we have already shifted into our very own permanent campus and it comes with its perks and many seniors have cracked var Continue ReadingIIT Jodhpur and Mandi both opened around the same time and have evolved in their own ways. While it would be best to contact a 3rd/4th year UG of IIT Mandi electrical to know more about the branch there.. I can assure you that Electrical is THE MOST CHILL branch here in Jodhpur. We have ample of faculty members in various areas of specialization along with well equipped Power Systems, Power Electronics, Analog/Digital Electronics and Machines lab. Also as Ansh has pointed out, we have already shifted into our very own permanent campus and it comes with its perks and many seniors have cracked various Graduate level exams GRE, GATE, CAT etc. and the placement is also quite decent. However, one piece of advice - if you want to opt for Department Change solely and have ABSOLUTELY NO interest in Electrical whatsoever then you should consider Mandi as the branch change criteria there is of about 50%. :D G ",Should I take electrical in IIT Mandi or electrical in IIT Jodhpur? 
"I was getting EE in all the second generation IITs except Indore and gandhinagar and I choose Mandi over others ( including Jodhpur ) due to the following reasons. 1 - EE at IIT Mandi have some really good faculties. Many of them have contacts with industry and can help you in getting internship offers and good research projects if you are interested. 2 - IIT Mandi is considered as a hub for electronics. The new microchip fabrication lab ( I forgot the exact name ) is so advanced and is responsible for some great research works that are currently happening in india. 3 - You have a good freedom on Continue ReadingI was getting EE in all the second generation IITs except Indore and gandhinagar and I choose Mandi over others ( including Jodhpur ) due to the following reasons. 1 - EE at IIT Mandi have some really good faculties. Many of them have contacts with industry and can help you in getting internship offers and good research projects if you are interested. 2 - IIT Mandi is considered as a hub for electronics. The new microchip fabrication lab ( I forgot the exact name ) is so advanced and is responsible for some great research works that are currently happening in india. 3 - You have a good freedom on choosing courses, after the core courses, you are free to do whatever course you want. 4 - Campus. I never wanted a city life and as you might have heard or seen, IIT Mandi is one of the most beautiful campuses in india. But I suggest you to make a decision based on the above facts rather than a beautiful campus. The above points might be true for IIT Jodhpur too now. But three years ago when I was filling options, I felt IIT Mandi is the best for me. ",Should I take electrical in IIT Mandi or electrical in IIT Jodhpur? 
"An year ago I had the same confusion as I was getting EE in all 2008 IITs After talking to so many seniors and some industrial contacts I decided it jodhpur electrical will be best for such a rank. As we have shifted in our permanent campus you people are going to be the one who will set it culture in our institute which is going to build you with great personalities and management skills. With more than 850 acres of campus you will witness one of the best developed iit with marvelous infrastructure.As per technical skills you are going to get all facilities for your project work with 24×7 help  Continue ReadingAn year ago I had the same confusion as I was getting EE in all 2008 IITs After talking to so many seniors and some industrial contacts I decided it jodhpur electrical will be best for such a rank. As we have shifted in our permanent campus you people are going to be the one who will set it culture in our institute which is going to build you with great personalities and management skills. With more than 850 acres of campus you will witness one of the best developed iit with marvelous infrastructure.As per technical skills you are going to get all facilities for your project work with 24×7 help from your seniors. "" The best and unique thing in Iitj is IIP program. This blended btech program gives you an opportunity to get a 3 year internship from some of the finest companies of electrical as well as mechanical branch. "" . Just imagine your skills set against those who get only one year internship. These companies include LNT and Tata Power etc . Such a program turns out to be a crucial factor in online as well as offline placement . I don'tthink any other it has any such kind of program.Talking about alumni base you will get a lot of help from our passed out seniors. Just a msg and even if they have never met you they will try to do everything on their hands. I myself had talked to some of them and they all have responded me very well. Thus all these things make me to conclude that IIT JODHPUR is the best It amongs othe ",Which is better: electrical engineering at ISM or Mandi and Jodhpur? 
If you are sincerely thinking about branch change then i prefer iit mandi as there are more chances of branch change. However even there branch change is not sure. In general for electronics branch i would suggest you iit jodhpur as there quite a nice scope of it in iit jodhpur. Considering iit dhanbad if i were you i would have ignored it as it is just converted into iit and its culture is not developed as compared to these iits. For more info about jodhpur feel free to ping me. Aso you can have a look about IIP in other answer of my friend Aayush gupta. ,Which is better: electrical engineering at ISM or Mandi and Jodhpur? 
"I am IIT mandi pass-out from Batch 2015 in mechanical stream. I can share you some of my experience during my 4 year stay in Mandi. But before that if you are solely making choice just because of some branch is better than the other, then I would say you may regret this in future. So, make choices based on your interest. So, IIT mandi is a young IIT, and it has some pros and cons. Regarding CS branch, I would say it’s now evolve much. Hefty salary packages, research environment, passionate classmates and young faculty, all place IIT mandi CS at among top program in country. While Mechanical department is still lagging with faculty numbers, infrastructure and quality course framework. But many PSU’s like BPCL,ISRO, Coal India are offering good opportunities to Bachelors students, which suggest that IIT mandi offers a good learning environment to its students. ",How is IIT Mandi for CS or Mechanical? 
"I am not aware of the other available options around this rank. Given these choices and having spent my 4 years at IIT Mandi, I will try list out some points that may help you taking a better decision. First of all, the thing that matters the most is your interest. But due to our curriculum in our schools till class 12th, its very difficult to find that interest. If by any chance you have find that, that’s great. If it lies in CS then go for it otherwise no. Talking about CSE in IITMandi, Its been more than 8 years, when IIT Mandi was established and since then it has developed a lot. As far as ac Continue ReadingI am not aware of the other available options around this rank. Given these choices and having spent my 4 years at IIT Mandi, I will try list out some points that may help you taking a better decision. First of all, the thing that matters the most is your interest. But due to our curriculum in our schools till class 12th, its very difficult to find that interest. If by any chance you have find that, that’s great. If it lies in CS then go for it otherwise no. Talking about CSE in IITMandi, Its been more than 8 years, when IIT Mandi was established and since then it has developed a lot. As far as academics are concerned, we have pretty good faculty with Director himself from CSE background.Our unique curriculum helps one to learn a lot of inter-disciplinary subjects( more than other IITs) apart from your core courses, which will help you gain inter-disciplinary knowledge. Coding culture is improving at a great pace. 4 GSoC selections this year from a relatively small batch. Selection Rate has doubled every year.2015 - 12016 - 22017 - 4 If you are looking for high packages, then placements here are pretty good. We host a mix of both Indian and foreign companies. Other than that, the following answers will help you in giving a better picture of IITMandi. Vivek Sharma's answer to Should I join iit tirupati,ropar or Mandi for btech mechanical? Vivek Sharma's answer to What are the best photographs of IIT mandi? I would suggest you to do extensive research about both the colleges, make a list of things that you are looking for in and after B.Tech, prioritise and quantify them and then take the final decision. ","Should I take CS in IIT Mandi or EEE in IIT Guwahati? (my rank is 1956, let me know if I have better options) "
