index,question,answers
40,"What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? ","Maybe I m not the best person to answer this question but my personal preference was CSE at IIT Jammu. But it depends on interest, one must choose the branch on the basis of his interest rather than going for better IIT or placements. "
41,"What should be my preference among mechanical at IIT Mandi, Jodhpur, Patna, Electrical at Dhanbad or newer IITs or CSE at IIT Jammu? ","First of all Congratulations for being IITian. Preference order should be : IIT DHANBAD as it is not new iit, it is of year 1926 blindly go for it without any second thought. IIT DHANBAD > IIT PATNA > IIT MANDI > IIT JODHPUR   "
42,Should I take electrical in IIT Mandi or electrical in IIT Jodhpur? ,"IIT Jodhpur and Mandi both opened around the same time and have evolved in their own ways. While it would be best to contact a 3rd/4th year UG of IIT Mandi electrical to know more about the branch there.. I can assure you that Electrical is THE MOST CHILL branch here in Jodhpur. We have ample of faculty members in various areas of specialization along with well equipped Power Systems, Power Electronics, Analog/Digital Electronics and Machines lab. Also as Ansh has pointed out, we have already shifted into our very own permanent campus and it comes with its perks and many seniors have cracked var Continue ReadingIIT Jodhpur and Mandi both opened around the same time and have evolved in their own ways. While it would be best to contact a 3rd/4th year UG of IIT Mandi electrical to know more about the branch there.. I can assure you that Electrical is THE MOST CHILL branch here in Jodhpur. We have ample of faculty members in various areas of specialization along with well equipped Power Systems, Power Electronics, Analog/Digital Electronics and Machines lab. Also as Ansh has pointed out, we have already shifted into our very own permanent campus and it comes with its perks and many seniors have cracked various Graduate level exams GRE, GATE, CAT etc. and the placement is also quite decent. However, one piece of advice - if you want to opt for Department Change solely and have ABSOLUTELY NO interest in Electrical whatsoever then you should consider Mandi as the branch change criteria there is of about 50%. :D G "
43,Should I take electrical in IIT Mandi or electrical in IIT Jodhpur? ,"I was getting EE in all the second generation IITs except Indore and gandhinagar and I choose Mandi over others ( including Jodhpur ) due to the following reasons. 1 - EE at IIT Mandi have some really good faculties. Many of them have contacts with industry and can help you in getting internship offers and good research projects if you are interested. 2 - IIT Mandi is considered as a hub for electronics. The new microchip fabrication lab ( I forgot the exact name ) is so advanced and is responsible for some great research works that are currently happening in india. 3 - You have a good freedom on Continue ReadingI was getting EE in all the second generation IITs except Indore and gandhinagar and I choose Mandi over others ( including Jodhpur ) due to the following reasons. 1 - EE at IIT Mandi have some really good faculties. Many of them have contacts with industry and can help you in getting internship offers and good research projects if you are interested. 2 - IIT Mandi is considered as a hub for electronics. The new microchip fabrication lab ( I forgot the exact name ) is so advanced and is responsible for some great research works that are currently happening in india. 3 - You have a good freedom on choosing courses, after the core courses, you are free to do whatever course you want. 4 - Campus. I never wanted a city life and as you might have heard or seen, IIT Mandi is one of the most beautiful campuses in india. But I suggest you to make a decision based on the above facts rather than a beautiful campus. The above points might be true for IIT Jodhpur too now. But three years ago when I was filling options, I felt IIT Mandi is the best for me. "
44,Which is better: electrical engineering at ISM or Mandi and Jodhpur? ,"An year ago I had the same confusion as I was getting EE in all 2008 IITs After talking to so many seniors and some industrial contacts I decided it jodhpur electrical will be best for such a rank. As we have shifted in our permanent campus you people are going to be the one who will set it culture in our institute which is going to build you with great personalities and management skills. With more than 850 acres of campus you will witness one of the best developed iit with marvelous infrastructure.As per technical skills you are going to get all facilities for your project work with 24×7 help  Continue ReadingAn year ago I had the same confusion as I was getting EE in all 2008 IITs After talking to so many seniors and some industrial contacts I decided it jodhpur electrical will be best for such a rank. As we have shifted in our permanent campus you people are going to be the one who will set it culture in our institute which is going to build you with great personalities and management skills. With more than 850 acres of campus you will witness one of the best developed iit with marvelous infrastructure.As per technical skills you are going to get all facilities for your project work with 24×7 help from your seniors. "" The best and unique thing in Iitj is IIP program. This blended btech program gives you an opportunity to get a 3 year internship from some of the finest companies of electrical as well as mechanical branch. "" . Just imagine your skills set against those who get only one year internship. These companies include LNT and Tata Power etc . Such a program turns out to be a crucial factor in online as well as offline placement . I don'tthink any other it has any such kind of program.Talking about alumni base you will get a lot of help from our passed out seniors. Just a msg and even if they have never met you they will try to do everything on their hands. I myself had talked to some of them and they all have responded me very well. Thus all these things make me to conclude that IIT JODHPUR is the best It amongs othe "
45,Which is better: electrical engineering at ISM or Mandi and Jodhpur? ,If you are sincerely thinking about branch change then i prefer iit mandi as there are more chances of branch change. However even there branch change is not sure. In general for electronics branch i would suggest you iit jodhpur as there quite a nice scope of it in iit jodhpur. Considering iit dhanbad if i were you i would have ignored it as it is just converted into iit and its culture is not developed as compared to these iits. For more info about jodhpur feel free to ping me. Aso you can have a look about IIP in other answer of my friend Aayush gupta. 
46,How is IIT Mandi for CS or Mechanical? ,"I am IIT mandi pass-out from Batch 2015 in mechanical stream. I can share you some of my experience during my 4 year stay in Mandi. But before that if you are solely making choice just because of some branch is better than the other, then I would say you may regret this in future. So, make choices based on your interest. So, IIT mandi is a young IIT, and it has some pros and cons. Regarding CS branch, I would say it’s now evolve much. Hefty salary packages, research environment, passionate classmates and young faculty, all place IIT mandi CS at among top program in country. While Mechanical department is still lagging with faculty numbers, infrastructure and quality course framework. But many PSU’s like BPCL,ISRO, Coal India are offering good opportunities to Bachelors students, which suggest that IIT mandi offers a good learning environment to its students. "
47,"Should I take CS in IIT Mandi or EEE in IIT Guwahati? (my rank is 1956, let me know if I have better options) ","I am not aware of the other available options around this rank. Given these choices and having spent my 4 years at IIT Mandi, I will try list out some points that may help you taking a better decision. First of all, the thing that matters the most is your interest. But due to our curriculum in our schools till class 12th, its very difficult to find that interest. If by any chance you have find that, that’s great. If it lies in CS then go for it otherwise no. Talking about CSE in IITMandi, Its been more than 8 years, when IIT Mandi was established and since then it has developed a lot. As far as ac Continue ReadingI am not aware of the other available options around this rank. Given these choices and having spent my 4 years at IIT Mandi, I will try list out some points that may help you taking a better decision. First of all, the thing that matters the most is your interest. But due to our curriculum in our schools till class 12th, its very difficult to find that interest. If by any chance you have find that, that’s great. If it lies in CS then go for it otherwise no. Talking about CSE in IITMandi, Its been more than 8 years, when IIT Mandi was established and since then it has developed a lot. As far as academics are concerned, we have pretty good faculty with Director himself from CSE background.Our unique curriculum helps one to learn a lot of inter-disciplinary subjects( more than other IITs) apart from your core courses, which will help you gain inter-disciplinary knowledge. Coding culture is improving at a great pace. 4 GSoC selections this year from a relatively small batch. Selection Rate has doubled every year.2015 - 12016 - 22017 - 4 If you are looking for high packages, then placements here are pretty good. We host a mix of both Indian and foreign companies. Other than that, the following answers will help you in giving a better picture of IITMandi. Vivek Sharma's answer to Should I join iit tirupati,ropar or Mandi for btech mechanical? Vivek Sharma's answer to What are the best photographs of IIT mandi? I would suggest you to do extensive research about both the colleges, make a list of things that you are looking for in and after B.Tech, prioritise and quantify them and then take the final decision. "
48,"Should I take CS in IIT Mandi or EEE in IIT Guwahati? (my rank is 1956, let me know if I have better options) ","It has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to Continue ReadingIt has been almost 8 months living in IIT Mandi. There are both good and bad points. Let us start with good : There is no pollution.(I come from Delhi so its a major plus for me)The hostel food is okay and there are a few canteens to keep things changing.I reside in south campus, which is almost completely constructed. Hence you wont feel lack of facilities.Wifi speed is okay.It is fully surrounded by mountains so the view is awesome.There are two rivers beside campus (there are ways to them). Whenever you feel out you can go to them.I am not much of a city person so on holidays i mostly go to trek around with friends.Teachers are good. Off course you will not like some of them but it is good. After all we are the only IIT to have more staff than the sanctioned strength.Now comes the bad: The institute is still new and not in a major city you will feel it tough to gather sponsors for any event.(the situation improves every year, we will be having 3 pro nites this Exodia !!).The main city Mandi is around 40 mins from institute thus if you want to hang out at dominos or have good tea/coffee at some cafe you will have to travel at least 80 mins (back and fro).You will feel lack of equipments and space for music club. We feel that Music club room should be bigger with better speakers.If you are a robotronics guy you will mostly not find parts in Mandi and it is a pain. Especially if you to complete something fast. You have to either go to Chandigarh or Delhi (maybe Shimla) to get things done.I have Apple devices and the nearest service centre. is in in Shimla, so if you buy or have replacement you need to go to Shimla.I have not experienced any other difficulty till now. Will update later.My life at IIT Mandi is just awesome. I get a lot of free time and is involved in some projects. Being in new college I get exposure to lot of new projects which are generally done 2nd -3rd yearites. Plus you get the opportunity to be core member of many clubs. Study is good and not at all stressful like JEE. (where 50 percent has to break their a** to get here). We have two quizzes and an end semester. The quiz of an hour and are over in a over a week. Also if you like to do multiple projects but don’t have enough motivation to start new projects , don't worry you have to a project every year to get grades. If you study smartly you can have a CG of 9 above (in 1 sem) easily. For above 9 just attend most classes. And even after all this stuff you can find time to pursue a hobby and play sports. Overall you will be always busy with some stuff or other (if you are not a Maggu/lame). Now for those who are reading this answer to find out placements and all. Look for CS they are just like any other college good. If you are good at coding and have nice outlook you can get a 20–25 easy. For mech guys (like me) have to work hard to get placement. The truth is this is the case all over India there are very few core companies so to get into them is tough. But mech is a branch which you pursue solely for your interest,some guys can get an awesome placement while others may be no. The for mech this year is 17 lac in HOCL (a PSU). Or you can apply of campus to companies like BM and Merc. it is all on you. For electrical I don’t have any reviews but they are more or less like mech guys besides the fact that they are sometimes(mostly) hired by IT giants. Again for internships you need to work hard, they are the same as placement. The only plus point is that we have a semester exchange program where you can to Germany and study a sem there. It is beneficial. EDIT1 : IIT Mandi has been literally very good in tech fests. It has been the number one new IIT in inter IIT tech meets. "
49,How is the girls' hostel at the Kamand Campus of IIT Mandi? ,"Hi, IIT Mandi hostels are too good than the expected images of hostels. Girls and Boys hostel design are alike more or less. In kamand campus 2/3 sharing rooms are being availed to students. Each hostel consists of 3 floors with the facilities such as laundry room, Iron, Induction pan, kettle, Washrooms(good enough :P). Verdict: You’ll not find these hostels deprived of any facility as such, they are good enough for the well conduction of your studies and fun at the same time. Thanks "
50,Who is the best student in IIT Mandi (batch of 2022)? ,Everyone is best in own filed. If one person is best in one field that does not mean he is best in all fields. Everyone has their own personality and qualities and I think everyone has special qualities. 
